136,0.596
1485,2.214
292,2.419
625,2.639
832,3.508
660,3.513
247,3.567
106,3.583
1125,3.586
224,3.613
1204,3.820
1397,3.841
699,4.053
212,4.065
606,4.528
64,4.633
1069,4.873
869,4.997
205,5.014
1049,5.115
1497,5.146
1409,5.259
46,5.294
1405,5.429
1947,5.475
601,5.501
150,5.549
1727,5.666
1040,5.815
753,5.827
1648,5.884
1128,5.899
797,5.981
236,6.018
319,6.123
806,6.326
1629,6.474
1188,6.521
1303,6.533
36,6.560
110,6.593
595,6.738
1673,6.776
313,6.779
203,6.846
1218,6.849
1925,6.908
597,6.926
639,6.928
141,6.929
1623,7.002
1779,7.006
540,7.020
1240,7.029
480,7.076
130,7.105
620,7.115
1770,7.130
199,7.155
1854,7.167
31,7.221
424,7.243
504,7.245
175,7.270
1733,7.274
948,7.326
1103,7.335
1355,7.352
1383,7.358
1825,7.378
1802,7.468
522,7.479
1123,7.498
249,7.513
29,7.533
1337,7.597
248,7.600
1651,7.602
1404,7.661
965,7.680
663,7.684
229,7.712
910,7.713
1148,7.869
1687,7.889
1543,8.063
1289,8.091
1564,8.095
297,8.111
570,8.154
1269,8.214
1536,8.240
86,8.240
1565,8.251
1892,8.312
225,8.319
75,8.335
568,8.347
553,8.350
90,8.379
104,8.396
260,8.422
719,8.432
1756,8.444
684,8.459
726,8.470
290,8.476
429,8.515
976,8.530
1007,8.564
185,8.593
492,8.606
1621,8.609
1314,8.630
312,8.636
382,8.638
1290,8.656
1705,8.656
1620,8.679
607,8.697
1111,8.724
194,8.750
604,8.803
496,8.826
99,8.837
154,8.855
1775,8.935
1818,8.965
1147,8.968
1060,8.970
521,9.008
592,9.024
157,9.038
1732,9.039
207,9.053
219,9.055
688,9.055
1,9.075
1196,9.097
379,9.111
677,9.124
541,9.142
1172,9.159
820,9.162
139,9.208
94,9.224
822,9.256
537,9.275
18,9.276
523,9.282
1138,9.302
1944,9.303
1086,9.314
302,9.338
1735,9.352
103,9.376
979,9.440
1072,9.544
411,9.575
1373,9.580
121,9.583
70,9.599
127,9.613
564,9.614
1272,9.635
648,9.649
1603,9.676
62,9.686
917,9.686
213,9.690
241,9.705
279,9.715
184,9.775
655,9.777
1167,9.789
918,9.796
1043,9.819
551,9.823
330,9.826
859,9.838
670,9.839
339,9.846
1238,9.847
1316,9.851
337,9.851
702,9.864
1555,9.866
611,9.872
1789,9.882
353,9.912
113,9.917
276,9.937
757,9.949
836,9.981
210,9.986
936,9.986
414,9.989
1093,9.995
450,10.001
1439,10.032
135,10.046
1433,10.053
1135,10.060
281,10.083
1572,10.091
51,10.091
12,10.117
1963,10.137
828,10.209
101,10.232
222,10.238
363,10.244
208,10.274
23,10.282
1302,10.289
768,10.289
796,10.289
1684,10.304
409,10.304
1077,10.318
519,10.329
1428,10.343
939,10.390
951,10.395
419,10.408
1862,10.446
641,10.446
805,10.462
1599,10.463
1091,10.464
399,10.470
964,10.478
1657,10.495
28,10.497
772,10.497
1734,10.501
793,10.506
162,10.510
532,10.515
1113,10.530
218,10.543
400,10.548
1717,10.559
501,10.578
476,10.585
1482,10.597
35,10.617
1136,10.644
1990,10.654
579,10.661
1971,10.722
15,10.752
317,10.767
473,10.768
228,10.779
1590,10.788
1357,10.811
794,10.848
1808,10.853
1198,10.855
905,10.875
367,10.876
704,10.884
1788,10.930
968,10.941
1652,10.948
1068,10.951
1304,10.951
1726,10.966
354,10.980
1844,10.987
1917,11.004
289,11.018
1400,11.035
1991,11.039
129,11.064
413,11.072
902,11.072
1010,11.077
1045,11.077
85,11.077
1039,11.089
